aid,depth,dropout,ffn_num_layers,linked_hidden_size,auc
1,5,0.05,2,2200,0.899938074
3,6,0,3,2100,0.853500447
5,5,0.15,2,1800,0.84994717
7,6,0,1,2000,0.921490273
9,5,0.1,1,1700,0.939749109
11,5,0.05,2,2300,0.706296296
13,6,0.1,3,1900,0.827508096
15,3,0,3,1900,0.855916333
17,3,0.2,2,1400,0.805
19,6,0,3,900,0.854155844
21,6,0.05,3,2100,0.919696205
23,3,0.2,2,1400,0.836790911
25,6,0,3,2000,0.899941604
27,5,0.15,1,1800,0.816616162
29,3,0,3,2000,0.857270956
31,5,0.1,1,1700,0.890425833
33,5,0.05,2,2200,0.951553025
35,5,0.05,2,700,0.921246925
37,6,0.1,3,1100,0.884190173
39,5,0.05,2,2200,0.904196885
41,6,0.35,3,2000,0.854271558
43,5,0.1,1,2300,0.921692864
45,5,0.05,2,2200,0.900402766
47,6,0,3,2100,0.850142105
49,6,0.1,3,1100,0.809293799
51,5,0.1,1,1700,0.697142857
53,5,0.1,3,1100,0.924223209
55,6,0.05,3,2100,0.91294659
57,6,0.3,1,1100,0.837902838
59,3,0.05,3,1100,0.889540763
61,3,0.15,3,2000,0.849393939
63,5,0.05,2,2200,0.72034188
65,5,0.05,2,2200,0.904424608
67,6,0,3,2400,0.888891028
69,5,0,2,1100,0.850505051
71,6,0.1,3,1100,0.84564483
73,5,0.25,2,800,0.869986792
75,6,0.25,1,1100,0.863636364
77,5,0.25,2,800,0.879293527
79,6,0.05,3,2100,0.815911806
83,6,0.1,3,1100,0.828176609
85,3,0.05,3,1500,0.798091328
87,6,0.1,3,400,0.664961356
89,5,0.1,1,1900,0.874775275
91,3,0.05,3,1500,0.915532421
93,6,0.15,3,1100,0.795946137
95,5,0.15,1,1600,0.929721478
97,5,0.05,2,2200,0.788970207
99,5,0.1,1,1700,0.917525433
101,6,0,1,2000,0.866241963
103,5,0.05,2,2200,0.944275062
105,4,0.15,2,2300,0.782272508
107,6,0.05,3,2100,0.90617145
